path,source,true_label,assign_class,maha_min,pca_residual,knn_mean
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (51).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.561787,1.5432202,3.3188752164435504
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (52).tif,Test,Brachypterois serrulata,Brachypterois serrulata,41.481934,1.5459313,3.391721286640816
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (53).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.26497,1.4517123,3.1709755206108095
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (54).tif,Test,Brachypterois serrulata,Brachypterois serrulata,41.1704,1.4429759,3.2069913549374562
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (55).tif,Test,Brachypterois serrulata,Brachypterois serrulata,41.704292,1.5541168,3.309391273970507
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (56).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.461773,1.3853562,3.28860464014257
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (57).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.903152,1.4990149,3.2248296467044613
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (58).tif,Test,Brachypterois serrulata,Brachypterois serrulata,38.557632,1.3878428,3.1322436751914142
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (59).tif,Test,Brachypterois serrulata,Brachypterois serrulata,38.0329,1.3845751,3.2766665244102477
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (6).tif,Test,Brachypterois serrulata,Brachypterois serrulata,32.958763,1.2539811,2.343708643913269
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (60).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.43522,1.4616331,3.3098715867591024
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (61).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.823643,1.3785933,2.5607944010359573
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (62).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.37931,1.4208094,2.486407315598183
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (63).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.275715,1.2961483,2.3083005403143693
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (64).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.634342,1.2635298,2.3039188994956135
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (65).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.60447,1.3715543,2.4549761024876933
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (66).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.514374,1.4493009,2.593390089471352
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (67).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.316887,1.3507291,2.4084467639517904
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (68).tif,Test,Brachypterois serrulata,Brachypterois serrulata,36.42582,1.3790154,2.4116490529639054
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (69).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.345802,1.3790948,2.296128322596453
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (7).tif,Test,Brachypterois serrulata,Brachypterois serrulata,35.639835,1.317876,2.3926455349873526
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (70).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.267334,1.4798099,2.718488818604958
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (71).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.754864,1.3232547,2.5689583110809324
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (72).tif,Test,Brachypterois serrulata,Brachypterois serrulata,51.38758,1.770746,3.8852026668765802
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (73).tif,Test,Brachypterois serrulata,Brachypterois serrulata,53.489952,1.6760048,4.09104900823658
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (74).tif,Test,Brachypterois serrulata,Brachypterois serrulata,49.226734,1.456792,3.5698123373580097
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (75).tif,Test,Brachypterois serrulata,Brachypterois serrulata,52.76274,1.4961646,3.677653181420021
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (76).tif,Test,Brachypterois serrulata,Brachypterois serrulata,52.460777,1.5931991,3.7727558321904167
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (77).tif,Test,Brachypterois serrulata,Brachypterois serrulata,55.21365,1.6948363,4.139337298737221
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (78).tif,Test,Brachypterois serrulata,Brachypterois serrulata,49.35972,1.5169804,3.6009184880208
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (79).tif,Test,Brachypterois serrulata,Brachypterois serrulata,51.810955,1.7243503,3.96582980632782
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (8).tif,Test,Brachypterois serrulata,Brachypterois serrulata,35.589302,1.4423174,2.7413623666763307
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (80).tif,Test,Brachypterois serrulata,Brachypterois serrulata,48.744755,1.5159459,3.6091665840148925
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (81).tif,Test,Brachypterois serrulata,Brachypterois serrulata,53.42238,1.689392,4.0058651185035705
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (82).tif,Test,Brachypterois serrulata,Brachypterois serrulata,51.27386,1.7335504,3.879559934774636
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (83).tif,Test,Brachypterois serrulata,Brachypterois serrulata,49.80009,1.5887944,3.6375723566603777
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (84).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.614098,1.7056353,3.8841440223318866
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (85).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.015804,1.7672304,3.9968877191494925
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (86).tif,Test,Brachypterois serrulata,Brachypterois serrulata,38.009785,1.7947581,4.003265786170959
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (87).tif,Test,Brachypterois serrulata,Brachypterois serrulata,42.16459,1.8150296,4.033315515036486
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (88).tif,Test,Brachypterois serrulata,Brachypterois serrulata,38.70028,1.7893037,3.9633812618255617
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (89).tif,Test,Brachypterois serrulata,Brachypterois serrulata,41.156902,1.9459392,4.051430379862689
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (9).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.374893,1.5941627,2.9876670502287674
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (90).tif,Test,Brachypterois serrulata,Brachypterois serrulata,41.61719,1.8340043,4.168714988060482
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (91).tif,Test,Brachypterois serrulata,Brachypterois serrulata,38.344357,1.7754675,3.9354987953764726
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (92).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.05637,1.8261894,4.0671254153203
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (93).tif,Test,Brachypterois serrulata,Brachypterois serrulata,38.767265,1.9284644,4.019942569250963
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (94).tif,Test,Brachypterois serrulata,Brachypterois serrulata,37.87958,1.648439,3.980642485136889
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (95).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.12339,1.8383281,4.050469950635445
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (96).tif,Test,Brachypterois serrulata,Brachypterois serrulata,50.05655,1.4000717,3.5952944631527886
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (97).tif,Test,Brachypterois serrulata,Brachypterois serrulata,48.752342,1.3267071,3.423050005303078
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (98).tif,Test,Brachypterois serrulata,Brachypterois serrulata,50.101025,1.3678061,3.527941857931878
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_L (99).tif,Test,Brachypterois serrulata,Brachypterois serrulata,48.436962,1.2974126,3.3978440523147584
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (1).tif,Test,Brachypterois serrulata,Brachypterois serrulata,39.19402,1.5297387,3.167603019031783
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (10).tif,Test,Brachypterois serrulata,Brachypterois serrulata,43.67198,1.5536988,3.3100614474492147
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (11).tif,Test,Brachypterois serrulata,Brachypterois serrulata,43.143173,1.5254649,3.265714983768947
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (12).tif,Test,Brachypterois serrulata,Brachypterois serrulata,40.68419,1.5312876,3.290151232678902
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (13).tif,Test,Brachypterois serrulata,Brachypterois serrulata,47.59329,1.6592121,3.639781018869529
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (14).tif,Test,Brachypterois serrulata,Brachypterois serrulata,47.85931,1.7313807,3.7296441219908525
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (15).tif,Test,Brachypterois serrulata,Brachypterois serrulata,46.83299,1.6795092,3.8478294391583425
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (16).tif,Test,Brachypterois serrulata,Brachypterois serrulata,45.91524,1.6892651,3.7348807592343314
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (17).tif,Test,Brachypterois serrulata,Brachypterois serrulata,50.069374,1.7479861,3.8495036967127523
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (18).tif,Test,Brachypterois serrulata,Brachypterois serrulata,50.504337,1.7071071,4.191034781761654
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (19).tif,Test,Brachypterois serrulata,Brachypterois serrulata,45.120502,1.565607,3.4544562800257403
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (2).tif,Test,Brachypterois serrulata,Brachypterois serrulata,43.55319,1.6405927,3.2728274677855302
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (20).tif,Test,Brachypterois serrulata,Brachypterois serrulata,45.507843,1.6437348,3.4652805899245074
/home/reshma/Otolith/otolith_Final/model_data/test/Brachypterois serrulata/Brachypterois serrulata_Sp4_R (21).tif,Test,Brachypterois serrulata,Brachypterois serrulata,50.051727,1.7860271,3.8789035577725395
