Image,actual_shape,predicted_shape,generated_caption,Description
Coryphaenoides sp_Sp10_L (16).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, mesial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (17).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, mesial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (18).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, mesial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (19).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Right otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, mesial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (20).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, mesial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (21).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (22).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (23).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Right otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, mesial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to double-peaked
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (24).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (25).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (26).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (27).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (28).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Right otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, mesial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (29).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (6).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, mesial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (7).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (8).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, mesial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
Coryphaenoides sp_Sp10_L (9).tif,Oval to elliptic,Oval to elliptical,"Type: Sagittal. Side: Left otolith. Shape: Oval to elliptical, lobed dorsal and ventral margins, Sulcus acusticus: homosulcoid, mesial, median. Ostium: tubular, Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: round to flattened
Class detected:Coryphaenoides sp","Type: Sagittal. Side: Left otolith. Shape: Oval to elliptic, lobed dorsal and sinuate ventral margins, Sulcus acusticus: homosulcoid, para-ostial, median. Ostium: tubular. Cauda: tubular, straight. Anterior region: round, rostrum and antirostrum poorly defined, notch absent. Posterior region: double-peaked."
AG34R 1.6X.tif,squared to irregular,Semicircular to elliptical,"Type: Sagittal. Side: Right otolith. Shape: Semicircular to elliptical, lobed dorsal and sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, markedly curved. Anterior region: double-peaked, rostrum angled and antirostrum angled,  excisura moderately wide with acute, shallow notch. Posterior region: double-peaked to blunt.
Class detected:Dactyloptena papilio","Type: Sagittal. Side: Right otolith. Shape: squared to irregular, lobed to irregular dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid ostial, median. Ostium: funnel-like. Cauda: tubular, markedly curved. Anterior region: notched, rostrum round and antirostrum round,  excisura moderately wide with moderately deep notch. Posterior region: notched."
AG39R 1.6X.tif,Semicircular,Semicircular to triangular,"Type: Sagittal. Side: Right otolith. Shape: Semicircular to triangular, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, markedly curved. Anterior region: double-peaked, rostrum angled and antirostrum angled,  excisura wide with acute, shallow notch. Posterior region: angled.
Class detected:Dactyloptena papilio","Type: Sagittal. Side: Right otolith. Shape: Semicircular, lobed dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid ostial, median. Ostium: funnel-like. Cauda: tubular, markedly curved. Anterior region: double-peaked, rostrum angled and antirostrum angled, excisura wide with acute shallow notch. Posterior region: angled."
AG8R 1.6X.tif,Semicircular,Semicircular to triangular,"Type: Sagittal. Side: Right otolith. Shape: Semicircular to triangular, sinuate to crenate dorsal and sinuate to crenate  ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, markedly curved. Anterior region: double-peaked, rostrum angled and antirostrum angled,  excisura wide with acute, shallow notch. Posterior region: angled.
Class detected:Dactyloptena papilio","Type: Sagittal. Side: Right otolith. Shape: Semicircular, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid ostial, median. Ostium: funnel-like. Cauda: tubular, markedly curved. Anterior region: double-peaked, rostrum blunt and antirostrum pointed,  excisura moderaltely wide with acute, moderately deep notch. Posterior region: angled."
DTR41.tif,fusiform,oval,"Type: Sagittal. Side: Right otolith. Shape: oval, irregular dorsal, crenate to serrate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: blunt, rostrum blunt and antirostrum blunt, excisura narrow with shallow, wide notch. Posterior region: blunt.
Class detected:Dactyloptena orientalis","Type: Sagittal. Side: Right otolith. Shape: fusiform, crenate dorsal and crenate to serrate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, markedly curved. Anterior region: round to peaked, rostrum angled and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt."
DTR47.tif,fusiform to elliptic,fusiform,"Type: Sagittal. Side: Right otolith. Shape: fusiform. irregular dorsal, crenate to serrate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, markedly curved. Anterior region: blunt, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena tiltoni","Type: Sagittal. Side: Right otolith. Shape: fusiform to elliptic, crenate to irregular dorsal and crenate to serrate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, markedly curved. Anterior region: round to peaked, rostrum angled and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt."
DTR56.tif,oval to elliptic,oval to elliptical,"Type: Sagittal. Side: Right otolith. Shape: oval to elliptical, crenate to irregular dorsal, crenate to serrate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, markedly curved. Anterior region: blunt, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.
Class detected:Dactyloptena tiltoni","Type: Sagittal. Side: Right otolith. Shape: oval to elliptic, crenate to irregular dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, markedly curved. Anterior region: round to peaked, rostrum angled and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: double-peaked to blunt."
DTR69.tif,oval to elliptic,fusiform,"Type: Sagittal. Side: Right otolith. Shape: fusiform. irregular dorsal, crenate to serrate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, markedly curved. Anterior region: peaked, rostrum blunt and antirostrum blunt to poorly developed, excisura narrow and shallow, wide notch. Posterior region: blunt.
Class detected:Dactyloptena tiltoni","Type: Sagittal. Side: Right otolith. Shape: oval to elliptic, crenate to irregular dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, markedly curved. Anterior region: round to peaked, rostrum angled and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: double-peaked."
Ectreposbastes imus_dorsal_Sp2_L_dorsal (2).tif,discoidal,Discoidal to hour-glass,"Type: Sagittal. Side: Left otolith. Shape: Discoidal to hour-glass, sinuate dorsal and crenate ventral margins. Sulcus acusticus: Not visible (outer surface view presented), Growth rings (annuli) visible. Anterior region: double peaked, rostrum blunt and antirostrum pointed, excisura moderately narrow with shallow acute notch. Posterior region: blunt to double-peaked.
Class detected:Pterygotrigla hemisticta","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with acute to wide notch. Posterior region: round to blunt."
Ectreposbastes imus_dorsal_Sp2_L_dorsal (3).tif,discoidal,Discoidal to hour-glass,"Type: Sagittal. Side: Left otolith. Shape: Discoidal to hour-glass, sinuate dorsal and crenate ventral margins. Sulcus acusticus: Not visible (outer surface view presented), Growth rings (annuli) visible. Anterior region: double peaked, rostrum blunt and antirostrum pointed, excisura moderately narrow with shallow acute notch. Posterior region: blunt.
Class detected:Pterygotrigla hemisticta","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with acute to wide notch. Posterior region: round to blunt."
Ectreposbastes imus_dorsal_Sp2_L_dorsal (4).tif,discoidal,Discoidal to hour-glass,"Type: Sagittal. Side: Left otolith. Shape: Discoidal to hour-glass, sinuate dorsal and crenate ventral margins. Sulcus acusticus: Not visible (outer surface view presented), Growth rings (annuli) visible. Anterior region: double peaked, rostrum blunt and antirostrum pointed, excisura moderately narrow with shallow acute notch. Posterior region: blunt.
Class detected:Pterygotrigla hemisticta","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with acute to wide notch. Posterior region: round to blunt."
Ectreposbastes imus_dorsal_Sp2_L_dorsal (5).tif,discoidal,Discoidal to hour-glass,"Type: Sagittal. Side: Left otolith. Shape: Discoidal to hour-glass, sinuate dorsal and crenate ventral margins. Sulcus acusticus: Not visible (outer surface view presented), Growth rings (annuli) visible. Anterior region: double peaked, rostrum blunt and antirostrum pointed, excisura moderately narrow with shallow acute notch. Posterior region: blunt.
Class detected:Pterygotrigla hemisticta","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with acute to wide notch. Posterior region: round to blunt."
Ectreposbastes imus_dorsal_Sp2_L_dorsal (6).tif,discoidal,Discoidal to hour-glass,"Type: Sagittal. Side: Left otolith. Shape: Discoidal to hour-glass, sinuate dorsal and crenate ventral margins. Sulcus acusticus: Not visible (outer surface view presented), Growth rings (annuli) visible. Anterior region: double peaked, rostrum blunt and antirostrum pointed, excisura moderately narrow with shallow acute notch. Posterior region: blunt.
Class detected:Pterygotrigla hemisticta","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with acute to wide notch. Posterior region: round to blunt."
Ectreposbastes imus_dorsal_Sp2_L_dorsal (7).tif,discoidal,Discoidal to hour-glass,"Type: Sagittal. Side: Left otolith. Shape: Discoidal to hour-glass, sinuate dorsal and crenate ventral margins. Sulcus acusticus: Not visible (outer surface view presented), Growth rings (annuli) visible. Anterior region: double peaked, rostrum blunt and antirostrum pointed, excisura moderately narrow with shallow acute notch. Posterior region: blunt.
Class detected:Pterygotrigla hemisticta","Type: Sagittal. Side: Left otolith. Shape: discoidal, approximately entire to sinuate dorsal and sinuate ventral margins. Sulcus acusticus: Not visible (outer surface view presented). Ostium and Cauda: undifferentiated. Anterior region: double peaked, rostrum and antirostrum blunt excisura wide with acute to wide notch. Posterior region: round to blunt."
