Image,actual_label,predicted_label,generated_caption,Description,anterior_gt_raw,anterior_gen_raw,CER
Brachypterois serrulata_Sp4_L (103).tif,Brachypterois serrulata,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, sinuate to creante dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum blunt or poorly developed, excisura moderately wide with wide, shallow notch. Posterior region: blunt.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled, rostrum blunt and antirostrum blunt or poorly developed, excisura moderately wide with wide, shallow notch",0.8023255813953488
Brachypterois serrulata_Sp4_L (104).tif,Brachypterois serrulata,Minous dempsterae,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to round, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt to round.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled to round, rostrum and antirostrum blunt, excisura wide with shallow, acute notch",0.6162790697674418
Brachypterois serrulata_Sp4_L (105).tif,Brachypterois serrulata,Minous dempsterae,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to round, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt to round.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled to round, rostrum and antirostrum blunt, excisura wide with shallow, acute notch",0.6162790697674418
Brachypterois serrulata_Sp4_L (106).tif,Brachypterois serrulata,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, sinuate to creante dorsal and sinuate to serrate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: blunt, rostrum blunt and antirostrum blunt or poorly developed, excisura wide with wide, shallow notch. Posterior region: blunt.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","blunt, rostrum blunt and antirostrum blunt or poorly developed, excisura wide with wide, shallow notch",0.6976744186046512
Brachypterois serrulata_Sp4_L (107).tif,Brachypterois serrulata,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, sinuate to creante dorsal and sinuate to serrate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: blunt, rostrum blunt and antirostrum blunt or poorly developed, excisura wide with wide, shallow notch. Posterior region: blunt.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","blunt, rostrum blunt and antirostrum blunt or poorly developed, excisura wide with wide, shallow notch",0.6976744186046512
Brachypterois serrulata_Sp4_L (108).tif,Brachypterois serrulata,Dactyloptena orientalis,"Type: Sagittal. Side: Left otolith. Shape: oval, sinuate to creante dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: blunt, rostrum blunt and antirostrum blunt or poorly developed, excisura wide with wide, shallow notch. Posterior region: blunt.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","blunt, rostrum blunt and antirostrum blunt or poorly developed, excisura wide with wide, shallow notch",0.6976744186046512
Brachypterois serrulata_Sp4_L (109).tif,Brachypterois serrulata,Minous dempsterae,"Type: Sagittal. Side: Right otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to irregular, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled to irregular, rostrum and antirostrum blunt, excisura wide with shallow, acute notch",0.6744186046511628
Brachypterois serrulata_Sp4_L (11).tif,Brachypterois serrulata,Minous dempsterae,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to round, rostrum and antirostrum poorly defined, excisura poorly defined without notch. Posterior region: blunt to irregular.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled to round, rostrum and antirostrum poorly defined, excisura poorly defined without notch",0.4418604651162791
Brachypterois serrulata_Sp4_L (110).tif,Brachypterois serrulata,Minous dempsterae,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to round, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: flattened to blunt.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled to round, rostrum and antirostrum blunt, excisura wide with shallow, acute notch",0.6162790697674418
Brachypterois serrulata_Sp4_L (111).tif,Brachypterois serrulata,Minous dempsterae,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate dorsal and sinuate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, slightly curved. Anterior region: round, rostrum blunt and antirostrum blunt, excisura narrow with shallow, acute notch. Posterior region: peaked.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","round, rostrum blunt and antirostrum blunt, excisura narrow with shallow, acute notch",0.6046511627906976
Brachypterois serrulata_Sp4_L (112).tif,Brachypterois serrulata,Minous dempsterae,"Type: Sagittal. Side: Right otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to irregular, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled to irregular, rostrum and antirostrum blunt, excisura wide with shallow, acute notch",0.6744186046511628
Brachypterois serrulata_Sp4_L (113).tif,Brachypterois serrulata,Minous dempsterae,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to irregular, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt to round.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled to irregular, rostrum and antirostrum blunt, excisura wide with shallow, acute notch",0.6744186046511628
Brachypterois serrulata_Sp4_L (114).tif,Brachypterois serrulata,Minous dempsterae,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to irregular, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt to round.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled to irregular, rostrum and antirostrum blunt, excisura wide with shallow, acute notch",0.6744186046511628
Brachypterois serrulata_Sp4_L (115).tif,Brachypterois serrulata,Minous dempsterae,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, slightly curved. Anterior region: angled, rostrum blunt and antirostrum blunt or poorly developed, excisura moderately wide with wide, shallow notch. Posterior region: blunt.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled, rostrum blunt and antirostrum blunt or poorly developed, excisura moderately wide with wide, shallow notch",0.8023255813953488
Brachypterois serrulata_Sp4_L (116).tif,Brachypterois serrulata,Minous dempsterae,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, slightly curved. Anterior region: round to angled, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","round to angled, rostrum and antirostrum blunt, excisura wide with shallow, acute notch",0.6511627906976745
Brachypterois serrulata_Sp4_L (12).tif,Brachypterois serrulata,Minous dempsterae,"Type: Sagittal. Side: Left otolith. Shape: elliptical, sinuate to crenate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, median. Ostium: funnel-like. Cauda: tubular, slightly curved. Anterior region: angled to round, rostrum and antirostrum blunt, excisura wide with shallow, acute notch. Posterior region: blunt to round.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled to round, rostrum and antirostrum blunt, excisura wide with shallow, acute notch",0.6162790697674418
Brachypterois serrulata_Sp4_L (13).tif,Brachypterois serrulata,Dactyloptena orientalis,"Type: Sagittal. Side: Left otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed",0.45348837209302323
Brachypterois serrulata_Sp4_L (14).tif,Brachypterois serrulata,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum peaked, excisura wide and notch poorly developed. Posterior region: blunt.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled, rostrum blunt and antirostrum peaked, excisura wide and notch poorly developed",0.4883720930232558
Brachypterois serrulata_Sp4_L (15).tif,Brachypterois serrulata,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum peaked, excisura wide and notch poorly developed. Posterior region: blunt.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled, rostrum blunt and antirostrum peaked, excisura wide and notch poorly developed",0.4883720930232558
Brachypterois serrulata_Sp4_L (16).tif,Brachypterois serrulata,Dactyloptena orientalis,"Type: Sagittal. Side: Right otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed",0.45348837209302323
Brachypterois serrulata_Sp4_L (17).tif,Brachypterois serrulata,Dactyloptena orientalis,"Type: Sagittal. Side: Left otolith. Shape: oval, entire to sinuate dorsal and sinuate to crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: funnel-like. Cauda: tubular, strongly curved. Anterior region: angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed. Posterior region: blunt.","Type: Sagittal, Side: Left otolith. Shape: oval, crenate dorsal and crenate ventral margins. Sulcus acusticus: heterosulcoid, ostial, inframedian. Ostium: tubular, shorter than cauda. Cauda: tubular, strongly curved. Anterior region: irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined. Posterior region: flattened.","irregular to blunt, rostrum blunt and antirostrum poorly defined, notch poorly defined","angled, rostrum blunt and antirostrum poorly developed, excisura and notch poorly developed",0.45348837209302323
